Bill Gates;dc647eb65e6711e155375218212b3964;68;b.gates@microsoft.com;0;0
Е. Пугачев;dc647eb65e6711e155375218212b3964;33;emelian@smuta.ru;0;0
Люся Бородавкина;dc647eb65e6711e155375218212b3964;26;lucile@mail.ru;0;0
Вадька;dc647eb65e6711e155375218212b3964;55;dor@mail.ru;0;0
барон Мюнхгаузен;dc647eb65e6711e155375218212b3964;76;baron@tales.de;0;0
И. Ньютон;dc647eb65e6711e155375218212b3964;84;isaaс@science.com;1;0
Л. да Винчи;dc647eb65e6711e155375218212b3964;67;l.da.vinci@art.com;0;0
Петр Великий;dc647eb65e6711e155375218212b3964;52;piere@romanov.ru;0;0
О.Бендер;dc647eb65e6711e155375218212b3964;79;bender@lit.ru;0;0
А.Эйнштейн;dc647eb65e6711e155375218212b3964;76;Einstein@science.com;0;0
Наполеон I Бонапарт;dc647eb65e6711e155375218212b3964;51;bonoparte@empire.fr;0;0
М.И.Кутузов;dc647eb65e6711e155375218212b3964;65;kutuzov@mail.ru;0;0
Аль Капоне;dc647eb65e6711e155375218212b3964;48;capone@outlook.com;0;1
J.Lennon;dc647eb65e6711e155375218212b3964;40;lennon@beatles.com;0;0
Л. ван Бетховен;dc647eb65e6711e155375218212b3964;56;beethoven@art.com;0;0
